date,category_id,category_title,revenue
2025-03-01,1,Wine,149855904.0
2025-04-01,1,Wine,150557216.0
2025-05-01,1,Wine,122170152.0
2025-06-01,1,Wine,135383632.0
2025-07-01,1,Wine,141137136.0
2025-08-01,1,Wine,138440592.0
2025-09-01,1,Wine,173062704.0
2025-10-01,1,Wine,152634144.0
2025-11-01,1,Wine,138488672.0
2025-12-01,1,Wine,121964936.0
2026-01-01,1,Wine,139879680.0
2026-02-01,1,Wine,138332832.0
2026-03-01,1,Wine,170290352.0
2026-04-01,1,Wine,164454560.0
2026-05-01,1,Wine,124362840.0
2026-06-01,1,Wine,168692016.0
2026-07-01,1,Wine,142262944.0
2026-08-01,1,Wine,143736800.0
2025-03-01,2,Champagne & Sparkling Wine,192279952.0
2025-04-01,2,Champagne & Sparkling Wine,179052528.0
2025-05-01,2,Champagne & Sparkling Wine,165589728.0
2025-06-01,2,Champagne & Sparkling Wine,170297280.0
2025-07-01,2,Champagne & Sparkling Wine,178856176.0
2025-08-01,2,Champagne & Sparkling Wine,173467200.0
2025-09-01,2,Champagne & Sparkling Wine,178303872.0
2025-10-01,2,Champagne & Sparkling Wine,178291088.0
2025-11-01,2,Champagne & Sparkling Wine,176029600.0
2025-12-01,2,Champagne & Sparkling Wine,176550512.0
2026-01-01,2,Champagne & Sparkling Wine,169711728.0
2026-02-01,2,Champagne & Sparkling Wine,162171760.0
2026-03-01,2,Champagne & Sparkling Wine,186357904.0
2026-04-01,2,Champagne & Sparkling Wine,156668480.0
2026-05-01,2,Champagne & Sparkling Wine,172710528.0
2026-06-01,2,Champagne & Sparkling Wine,165585904.0
2026-07-01,2,Champagne & Sparkling Wine,160638688.0
2026-08-01,2,Champagne & Sparkling Wine,172706336.0
2025-03-01,3,Whiskey,520135136.0
2025-04-01,3,Whiskey,601886336.0
2025-05-01,3,Whiskey,555611392.0
2025-06-01,3,Whiskey,559316800.0
2025-07-01,3,Whiskey,552871296.0
2025-08-01,3,Whiskey,614077440.0
2025-09-01,3,Whiskey,582611776.0
2025-10-01,3,Whiskey,612041728.0
2025-11-01,3,Whiskey,609472448.0
2025-12-01,3,Whiskey,603876224.0
2026-01-01,3,Whiskey,603360704.0
2026-02-01,3,Whiskey,590473536.0
2026-03-01,3,Whiskey,593847360.0
2026-04-01,3,Whiskey,569603712.0
2026-05-01,3,Whiskey,534317632.0
2026-06-01,3,Whiskey,566642944.0
2026-07-01,3,Whiskey,545744128.0
2026-08-01,3,Whiskey,590380160.0
2025-03-01,4,Cognac & Brandy,96532784.0
2025-04-01,4,Cognac & Brandy,86336192.0
2025-05-01,4,Cognac & Brandy,116488456.0
2025-06-01,4,Cognac & Brandy,92889992.0
2025-07-01,4,Cognac & Brandy,99543624.0
2025-08-01,4,Cognac & Brandy,98050496.0
2025-09-01,4,Cognac & Brandy,108676824.0
2025-10-01,4,Cognac & Brandy,110995424.0
2025-11-01,4,Cognac & Brandy,111231352.0
2025-12-01,4,Cognac & Brandy,109792904.0
2026-01-01,4,Cognac & Brandy,104528280.0
2026-02-01,4,Cognac & Brandy,103595168.0
2026-03-01,4,Cognac & Brandy,107416552.0
2026-04-01,4,Cognac & Brandy,105893312.0
2026-05-01,4,Cognac & Brandy,125901064.0
2026-06-01,4,Cognac & Brandy,119126208.0
2026-07-01,4,Cognac & Brandy,109351616.0
2026-08-01,4,Cognac & Brandy,120872696.0
2025-03-01,5,Vodka,107826168.0
2025-04-01,5,Vodka,104983320.0
2025-05-01,5,Vodka,113347360.0
2025-06-01,5,Vodka,109008592.0
2025-07-01,5,Vodka,112943880.0
2025-08-01,5,Vodka,98250968.0
2025-09-01,5,Vodka,104015912.0
2025-10-01,5,Vodka,109441968.0
2025-11-01,5,Vodka,111394216.0
2025-12-01,5,Vodka,105343504.0
2026-01-01,5,Vodka,110541704.0
2026-02-01,5,Vodka,115155016.0
2026-03-01,5,Vodka,113999168.0
2026-04-01,5,Vodka,113484416.0
2026-05-01,5,Vodka,116713816.0
2026-06-01,5,Vodka,104486512.0
2026-07-01,5,Vodka,106581728.0
2026-08-01,5,Vodka,107844288.0
